index,Type,Core_Density,BiC A,BiC B,CC AB,F1,F1_Individual_Nodes_Considered,Team_Strength,Number_of_Self_Activations,Self Activation Status,Team Size
Density 40%_Without Self Activation_Network_1,Lowered Density,Density 40%,0.7779415245627455,0.7818872216758794,-0.9390997289987822,0.8053506054632498,0.3623767952689383,0.4340000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_2,Lowered Density,Density 40%,0.7138934221727373,0.6667076522019271,-0.945952291514907,0.702475870751154,0.2479367743740383,0.226,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_3,Lowered Density,Density 40%,0.7554917325496159,0.7240670561604371,-0.9395239111542064,0.7298584905660377,0.322877358490566,0.443,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_4,Lowered Density,Density 40%,0.7268136465087387,0.7795003868210084,-0.9375112529655744,0.7643332617564956,0.3137749624221602,0.442,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_5,Lowered Density,Density 40%,0.7178376143174514,0.7258174927841491,-0.9315818854631734,0.7290071840772583,0.2632198798728065,0.4400000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_6,Lowered Density,Density 40%,0.7252037139275416,0.7938970735043318,-0.9279760965754013,0.769951517132429,0.2748270414555755,0.44,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_7,Lowered Density,Density 40%,0.6962017438423959,0.7621416874837977,-0.935854113549474,0.7391510834075393,0.2631641436628079,0.432,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_8,Lowered Density,Density 40%,0.800077433803231,0.7866866799501695,-0.9375248396410912,0.8144102564102564,0.3612820512820512,0.4430000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_9,Lowered Density,Density 40%,0.7624010746805161,0.6520998524648034,-0.937777565140376,0.6973423026025585,0.2107962064402293,0.4290000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_10,Lowered Density,Density 40%,0.7727640511304943,0.7676441085529535,-0.9134275177431422,0.793035439137134,0.254175654853621,0.4410000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_11,Lowered Density,Density 40%,0.77395909645817,0.7340844999205308,-0.940918564690953,0.7709589867310012,0.3029754724567752,0.451,0,Without Self Activation,5.0
