index,Type,Core_Density,BiC A,BiC B,CC AB,F1,F1_Individual_Nodes_Considered,Team_Strength,Self Activation Status,Team Size
Density 60%_With Self Activation_Network_5,Lowered Density,Density 60%,0.925013527659886,0.9140257203065688,-0.8508556343656323,0.9407364787111624,0.7882623705408516,0.9599999999999996,With Self Activation,5.0
Density 60%_With Self Activation_Network_6,Lowered Density,Density 60%,0.9464602832718813,0.9461186245897256,-0.8080180118987689,0.9577531947358384,0.8768357810413885,0.9599999999999996,With Self Activation,5.0
Density 60%_With Self Activation_Network_7,Lowered Density,Density 60%,0.9708666865755184,0.970953603194116,-0.775767049338778,0.9863725490196078,0.9059313725490196,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_8,Lowered Density,Density 60%,0.9321131172861848,0.9349331889006014,-0.81430536240938,0.9436600027960296,0.8624353418146232,0.9579999999999996,With Self Activation,5.0
Density 60%_With Self Activation_Network_9,Lowered Density,Density 60%,0.9257251028242184,0.9176001787954184,-0.8333571102629421,0.9371385015468772,0.8248217728556696,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_10,Lowered Density,Density 60%,0.932324527557822,0.9332017972868966,-0.8173841902935517,0.9423377100358094,0.8588742998806354,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_11,Lowered Density,Density 60%,0.9241975940865902,0.8709262343206895,-0.9012432568241914,0.9429368400079696,0.6661486351862921,0.958,With Self Activation,5.0
Density 60%_With Self Activation_Network_12,Lowered Density,Density 60%,0.9169086752192124,0.9165555417781834,-0.8182518801712807,0.9237678489175496,0.8620451404882543,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_13,Lowered Density,Density 60%,0.9622848780615212,0.961609205913046,-0.7815431833778902,0.9739975698663428,0.8985662211421628,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_14,Lowered Density,Density 60%,0.9467457409760844,0.9480602879858402,-0.7948505236573293,0.9602629937131064,0.8805490233718866,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_15,Lowered Density,Density 60%,0.9225718685352918,0.9231080977298516,-0.8208595643049539,0.9341450945763816,0.8542547752939537,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_16,Lowered Density,Density 60%,0.7981599580681998,0.7898906812551142,-0.8968494733353246,0.8002467517446119,0.725180244438447,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_17,Lowered Density,Density 60%,0.9450052146576648,0.9449856299356206,-0.8034899140304366,0.9587036069001568,0.8643254288837143,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_18,Lowered Density,Density 60%,0.9401252504218076,0.9326351816061044,-0.8233096091804402,0.9469675861428438,0.8378378378378378,0.9599999999999996,With Self Activation,5.0
Density 60%_With Self Activation_Network_19,Lowered Density,Density 60%,0.9609147955545114,0.9614017275018164,-0.7825090551268828,0.974847634710264,0.8981812905098191,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_20,Lowered Density,Density 60%,0.9200568070884604,0.9227404899400752,-0.8118395552581115,0.9319661909380628,0.8546487460163503,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_21,Lowered Density,Density 60%,0.9266692791483924,0.9253299901854508,-0.8387964048046672,0.9431209602954757,0.8425207756232687,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_22,Lowered Density,Density 60%,0.9093096972343284,0.9113519011399196,-0.8286646190096729,0.9190447924752294,0.8405552257887767,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_23,Lowered Density,Density 60%,0.8768419306253442,0.8620497138568587,-0.8619525726969368,0.8678919919246298,0.7783479138627187,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_24,Lowered Density,Density 60%,0.9547262565144188,0.9566923588023358,-0.8356194427361728,0.9735334110334112,0.8564491064491064,0.958,With Self Activation,5.0
Density 60%_With Self Activation_Network_25,Lowered Density,Density 60%,0.9114418244675242,0.9169892177425744,-0.8236730961197675,0.9222487499436912,0.83395648452633,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_26,Lowered Density,Density 60%,0.9109287640632868,0.9123353539280592,-0.8208936228159699,0.9192784256559768,0.8531796647230321,0.9599999999999996,With Self Activation,5.0
Density 60%_With Self Activation_Network_27,Lowered Density,Density 60%,0.9151809914371056,0.9152150816019607,-0.8331755898517487,0.930740591216974,0.8198089086260261,0.9599999999999996,With Self Activation,5.0
Density 60%_With Self Activation_Network_28,Lowered Density,Density 60%,0.957333816551059,0.9573415219916516,-0.7963201827108118,0.975521132147638,0.8785618665136737,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_29,Lowered Density,Density 60%,0.939884959397227,0.941224232165382,-0.8127375124712618,0.9545924602801542,0.8665977249224406,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_30,Lowered Density,Density 60%,0.9034509074294303,0.91127131840082,-0.8370611484201589,0.9142467000455166,0.8274010013654984,0.9599999999999996,With Self Activation,5.0
Density 60%_With Self Activation_Network_31,Lowered Density,Density 60%,0.948644154073347,0.952970110122954,-0.7974654925196129,0.9622605272002688,0.8744898449128535,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_32,Lowered Density,Density 60%,0.859931401781167,0.8755241342781427,-0.8624748396081019,0.8596454465445706,0.7604040065378651,0.9599999999999996,With Self Activation,5.0
Density 60%_With Self Activation_Network_33,Lowered Density,Density 60%,0.9318056719418362,0.9283943381957191,-0.8166220513965486,0.9403129314312012,0.8465715600552232,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_34,Lowered Density,Density 60%,0.9329077335815494,0.932068427031889,-0.8216716465766903,0.9452828441810944,0.8475141190630497,0.9599999999999996,With Self Activation,5.0
Density 60%_With Self Activation_Network_35,Lowered Density,Density 60%,0.8222438551053768,0.8202974827204079,-0.8834645225917419,0.8272437320844604,0.7473858452097379,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_36,Lowered Density,Density 60%,0.8895822012385594,0.8879658594756812,-0.8465691215447156,0.896114827448722,0.8226642448943428,0.9599999999999996,With Self Activation,5.0
Density 60%_With Self Activation_Network_37,Lowered Density,Density 60%,0.8453020923179853,0.8437211131628066,-0.8739438093175005,0.848070805122767,0.7608695652173914,0.958,With Self Activation,5.0
Density 60%_With Self Activation_Network_38,Lowered Density,Density 60%,0.9430573268130658,0.9438040397311236,-0.7942964203379499,0.9541781538169029,0.8818328738473239,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_39,Lowered Density,Density 60%,0.9280834772894564,0.9279739759670916,-0.8173209283744813,0.9382474754525572,0.8536460514681931,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_40,Lowered Density,Density 60%,0.9552652716445488,0.9555593251333894,-0.799416345113388,0.9709443099273608,0.8797578692493947,0.958,With Self Activation,5.0
Density 60%_With Self Activation_Network_41,Lowered Density,Density 60%,0.9285689060661664,0.9326423450822564,-0.8129493380747693,0.9384115188109614,0.8561077566186717,0.9599999999999996,With Self Activation,5.0
Density 60%_With Self Activation_Network_42,Lowered Density,Density 60%,0.910576598254026,0.910078128378181,-0.8367205081528174,0.9173357254989908,0.8272706884951783,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_43,Lowered Density,Density 60%,0.9389373840768444,0.9387430102302842,-0.7991603813874928,0.952191235059761,0.880288370328211,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_44,Lowered Density,Density 60%,0.9385723892632796,0.9353871762096228,-0.8176889933261986,0.9495183226293916,0.8646108802417831,0.9599999999999996,With Self Activation,5.0
Density 60%_With Self Activation_Network_45,Lowered Density,Density 60%,0.9159198479551642,0.9143713818245158,-0.8295902457668003,0.9251001888617624,0.845824312497121,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_46,Lowered Density,Density 60%,0.9444921340267772,0.9498377616469132,-0.8398446858218731,0.9715330134795522,0.8203792551976239,0.9589999999999996,With Self Activation,5.0
Density 60%_With Self Activation_Network_47,Lowered Density,Density 60%,0.8665861506132826,0.8675865045401441,-0.852248420914366,0.8690007357077941,0.8123512355563249,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_48,Lowered Density,Density 60%,0.863528781198948,0.8467272149555087,-0.8611856282595495,0.8496171387924181,0.7795305242897193,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_49,Lowered Density,Density 60%,0.8971975574102288,0.8995240698224325,-0.8514500833144478,0.9104892674024508,0.8061180151212306,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_50,Lowered Density,Density 60%,0.8837711964886,0.8840876153827334,-0.8364934837677243,0.8876008286684004,0.8300788998104641,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_51,Lowered Density,Density 60%,0.8654640126359598,0.8466454748568928,-0.8781004647662689,0.8450112221995512,0.7329932666802693,0.9599999999999996,With Self Activation,5.0
Density 60%_With Self Activation_Network_52,Lowered Density,Density 60%,0.9001385931048884,0.9046150872292952,-0.8600046472199031,0.9131176999101528,0.8011230907457323,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_53,Lowered Density,Density 60%,0.9611306089347902,0.9655765908426182,-0.7884727711822072,0.9791424699961284,0.8804684475416182,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_54,Lowered Density,Density 60%,0.9090290207318412,0.907012569294022,-0.8277051559864094,0.9179319018956068,0.8379750247057767,0.958,With Self Activation,5.0
Density 60%_With Self Activation_Network_55,Lowered Density,Density 60%,0.9591828444797948,0.9608285761830256,-0.8026431149684348,0.975861740620834,0.8725956960578938,0.958,With Self Activation,5.0
Density 60%_With Self Activation_Network_56,Lowered Density,Density 60%,0.9599904000990496,0.9602811364600428,-0.7891856582378782,0.9750170449011396,0.8929580208434791,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_57,Lowered Density,Density 60%,0.9194582582315166,0.9227518979763178,-0.8209501282048399,0.9189409737963552,0.8489436938979055,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_58,Lowered Density,Density 60%,0.9389594007246762,0.9335059345027648,-0.8205999992107992,0.9473145303918832,0.8394768686586614,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_59,Lowered Density,Density 60%,0.9030241142786232,0.9015564418096096,-0.8180534941202429,0.9110102156640182,0.8502156640181612,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_60,Lowered Density,Density 60%,0.9222744470695636,0.9243356893044052,-0.8225592013794126,0.9311922408271572,0.8468295360966237,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_61,Lowered Density,Density 60%,0.8875717987222214,0.892509599079361,-0.8544853638821484,0.8985724356714839,0.8148572435671484,0.958,With Self Activation,5.0
Density 60%_With Self Activation_Network_62,Lowered Density,Density 60%,0.9375085251936072,0.9365134916887272,-0.8012526179721697,0.9471205914206338,0.8768658473419033,0.959,With Self Activation,5.0
Density 60%_With Self Activation_Network_63,Lowered Density,Density 60%,0.9765723661149426,0.9768405284971204,-0.7684869906535032,0.9932435764659466,0.9130541993391528,0.96,With Self Activation,5.0
Density 60%_With Self Activation_Network_64,Lowered Density,Density 60%,0.966007988321787,0.9668108288714404,-0.7799432055090028,0.9809598203388176,0.9026509788605184,0.958,With Self Activation,5.0
