index,Core Density,CC AB,F1,Self Activation Status,Impurity
80_With Self Activation_Network_72,80,-1.0,1.0,With Self Activation,20.0
80_With Self Activation_Network_73,80,-0.9991307488601132,0.8901066666666666,With Self Activation,20.0
80_With Self Activation_Network_74,80,-0.917136403891327,0.4146999999999999,With Self Activation,20.0
80_With Self Activation_Network_75,80,-0.923906024154629,0.7054466666666667,With Self Activation,20.0
80_With Self Activation_Network_76,80,-0.8571486260303434,0.6383066666666667,With Self Activation,20.0
80_With Self Activation_Network_77,80,-0.9019252816772156,0.4382433333333333,With Self Activation,20.0
80_With Self Activation_Network_78,80,-0.9111107104012064,0.5808866666666666,With Self Activation,20.0
80_With Self Activation_Network_79,80,-0.999995499078105,0.99991,With Self Activation,20.0
80_With Self Activation_Network_80,80,-0.8952032710297414,0.4675999999999999,With Self Activation,20.0
80_With Self Activation_Network_81,80,-0.6907879786567024,0.1779099999999999,With Self Activation,20.0
80_With Self Activation_Network_82,80,-0.9531545640557624,0.0,With Self Activation,20.0
80_With Self Activation_Network_83,80,-1.0,0.9761433333333334,With Self Activation,20.0
80_With Self Activation_Network_84,80,-0.9210594342155092,0.6509566666666666,With Self Activation,20.0
80_With Self Activation_Network_85,80,-0.935844067177942,0.5697966666666667,With Self Activation,20.0
80_With Self Activation_Network_86,80,-0.9130976461297128,0.7062499999999999,With Self Activation,20.0
80_With Self Activation_Network_87,80,-0.907367552994119,0.4502266666666665,With Self Activation,20.0
80_With Self Activation_Network_88,80,-0.9982669775599664,0.7281366666666667,With Self Activation,20.0
80_With Self Activation_Network_89,80,-0.910356873296055,0.3843233333333333,With Self Activation,20.0
80_With Self Activation_Network_90,80,-1.0,1.0,With Self Activation,20.0
80_With Self Activation_Network_91,80,-0.9961412312160294,0.8710099999999998,With Self Activation,20.0
80_With Self Activation_Network_92,80,-1.0,0.9462266666666664,With Self Activation,20.0
80_With Self Activation_Network_93,80,-0.9281298932811302,0.3772433333333333,With Self Activation,20.0
80_With Self Activation_Network_94,80,-0.8839256142167154,0.4286899999999999,With Self Activation,20.0
80_With Self Activation_Network_95,80,-1.0,0.0,With Self Activation,20.0
80_With Self Activation_Network_96,80,-0.9995982986410168,0.90896,With Self Activation,20.0
80_With Self Activation_Network_97,80,-0.9145576903817456,0.5841999999999998,With Self Activation,20.0
80_With Self Activation_Network_98,80,-0.989243061471659,0.7841866666666666,With Self Activation,20.0
80_With Self Activation_Network_99,80,-0.9994516487191842,0.9697466666666664,With Self Activation,20.0
80_With Self Activation_Network_0,80,-0.2310879734801005,0.0,With Self Activation,40.0
80_With Self Activation_Network_1,80,-0.3932146019222451,0.0151133333333333,With Self Activation,40.0
80_With Self Activation_Network_2,80,-0.3506306331104961,0.0026766666666666,With Self Activation,40.0
80_With Self Activation_Network_3,80,-0.8801621613654154,0.0026666666666666,With Self Activation,40.0
80_With Self Activation_Network_4,80,-0.5199590893987207,5.333333333333333e-05,With Self Activation,40.0
80_With Self Activation_Network_5,80,-0.9591535132516528,0.00015,With Self Activation,40.0
80_With Self Activation_Network_6,80,-0.3801892565114057,0.0401133333333331,With Self Activation,40.0
80_With Self Activation_Network_7,80,0.1414441574773048,0.0155766666666666,With Self Activation,40.0
80_With Self Activation_Network_8,80,-0.5283485141972648,0.0,With Self Activation,40.0
80_With Self Activation_Network_9,80,-0.3708603421743338,0.0046266666666666,With Self Activation,40.0
80_With Self Activation_Network_10,80,-0.4845885045815019,0.0,With Self Activation,40.0
80_With Self Activation_Network_11,80,0.4278088989765689,0.0,With Self Activation,40.0
80_With Self Activation_Network_12,80,-0.5115523264830645,0.0,With Self Activation,40.0
80_With Self Activation_Network_13,80,-0.4536420544059352,0.0,With Self Activation,40.0
80_With Self Activation_Network_14,80,-0.3594214916090668,0.0,With Self Activation,40.0
80_With Self Activation_Network_15,80,-0.2084432153129146,0.0,With Self Activation,40.0
80_With Self Activation_Network_16,80,-0.7035484936255082,0.0,With Self Activation,40.0
80_With Self Activation_Network_17,80,0.9999714598831138,0.0,With Self Activation,40.0
80_With Self Activation_Network_18,80,-0.7518966997582722,0.0,With Self Activation,40.0
80_With Self Activation_Network_19,80,-0.6839585957235318,0.0001433333333333,With Self Activation,40.0
80_With Self Activation_Network_20,80,-0.0218776741081432,0.0048433333333333,With Self Activation,40.0
80_With Self Activation_Network_21,80,-0.3931757135547325,0.0142499999999999,With Self Activation,40.0
80_With Self Activation_Network_22,80,-0.7150819814753148,0.0025566666666666,With Self Activation,40.0
80_With Self Activation_Network_23,80,0.069631765114583,0.0,With Self Activation,40.0
80_With Self Activation_Network_24,80,0.4091225931857616,8e-05,With Self Activation,40.0
80_With Self Activation_Network_25,80,-0.4528406380939239,0.0001466666666666,With Self Activation,40.0
80_With Self Activation_Network_26,80,-0.0120122549397596,0.0299033333333332,With Self Activation,40.0
80_With Self Activation_Network_27,80,-0.6086223780481098,0.0001233333333333,With Self Activation,40.0
80_With Self Activation_Network_28,80,-0.7490879824642053,0.0685833333333333,With Self Activation,40.0
80_With Self Activation_Network_29,80,-0.6756444853092548,0.0516833333333333,With Self Activation,40.0
80_With Self Activation_Network_30,80,-0.9165252037301288,8e-05,With Self Activation,40.0
80_With Self Activation_Network_31,80,-0.76654322388321,0.0234533333333333,With Self Activation,40.0
80_With Self Activation_Network_32,80,-0.9183266467068456,0.0,With Self Activation,40.0
80_With Self Activation_Network_33,80,-0.5023266701513032,0.0,With Self Activation,40.0
80_With Self Activation_Network_34,80,-0.998637549967522,0.79711,With Self Activation,40.0
80_With Self Activation_Network_35,80,-0.6810698836248881,0.0,With Self Activation,40.0
80_With Self Activation_Network_36,80,-0.3073785858915129,0.0,With Self Activation,40.0
80_With Self Activation_Network_37,80,-0.7023078877145231,0.0,With Self Activation,40.0
80_With Self Activation_Network_38,80,-0.964931239108179,0.0404299999999999,With Self Activation,40.0
80_With Self Activation_Network_39,80,-0.9744309441887018,6.000000000000001e-05,With Self Activation,40.0
80_With Self Activation_Network_40,80,0.2318532286136376,0.0,With Self Activation,40.0
80_With Self Activation_Network_41,80,-0.997049114330338,5.333333333333333e-05,With Self Activation,40.0
80_With Self Activation_Network_42,80,-0.2107348095314116,2.3333333333333336e-05,With Self Activation,40.0
80_With Self Activation_Network_43,80,0.0003625729787846,2.666666666666667e-05,With Self Activation,40.0
80_With Self Activation_Network_44,80,0.481226475692606,0.0,With Self Activation,40.0
80_With Self Activation_Network_45,80,-0.8944222230742499,0.0,With Self Activation,40.0
80_With Self Activation_Network_46,80,-0.1313408188885775,0.0,With Self Activation,40.0
80_With Self Activation_Network_47,80,-0.8803184249765514,0.0005833333333331,With Self Activation,40.0
80_With Self Activation_Network_48,80,-0.28173817702477,3.3333333333333337e-06,With Self Activation,40.0
80_With Self Activation_Network_49,80,-1.0,0.0,With Self Activation,40.0
80_With Self Activation_Network_50,80,-0.4631831306673891,0.0089799999999999,With Self Activation,40.0
80_With Self Activation_Network_51,80,-0.8433461854384016,0.0023233333333332,With Self Activation,40.0
80_With Self Activation_Network_52,80,-0.9612351263802162,0.0093133333333332,With Self Activation,40.0
80_With Self Activation_Network_53,80,-0.9838032363563096,0.0,With Self Activation,40.0
80_With Self Activation_Network_54,80,-0.9292852524333686,0.0,With Self Activation,40.0
80_With Self Activation_Network_55,80,0.5859387059981472,0.0002399999999999,With Self Activation,40.0
80_With Self Activation_Network_56,80,-0.0898490335077455,0.0,With Self Activation,40.0
80_With Self Activation_Network_57,80,-0.8837577868292585,0.0182366666666666,With Self Activation,40.0
