index,Core Density,CC AB,F1,Team_Strength,Team Size,Impurity,Indegree_Team_A,Indegree_Team_B,Outdegree_Team_A,Outdegree_Team_B,External Network Density
TS_1_embed_P30N_C2N_trial_31,100.0,0.1800787392473683,0.5273199999999931,0.0975,1,0.0,20.0,20.0,17.0,17.0,9.933333333333334
TS_1_embed_P30N_C2N_trial_32,100.0,0.4944741501173819,0.3074333333333311,0.11,1,0.0,18.0,18.0,17.0,17.0,9.5
TS_1_embed_P30N_C2N_trial_33,100.0,-0.1263541762462684,0.5478666666666602,0.0775,1,0.0,20.0,20.0,7.0,7.0,4.966666666666667
TS_1_embed_P30N_C2N_trial_34,100.0,0.5005728371662129,0.2659299999999966,0.1225,1,0.0,10.0,10.0,16.0,16.0,7.333333333333333
TS_1_embed_P30N_C2N_trial_35,100.0,-0.7561355320957074,0.860286666666662,0.205,1,0.0,3.0,3.0,18.0,18.0,3.466666666666667
TS_1_embed_P30N_C2N_trial_36,100.0,-0.6845300355259832,0.8126733333333146,0.1525,1,0.0,5.0,5.0,12.0,12.0,9.733333333333333
TS_1_embed_P30N_C2N_trial_37,100.0,-0.6436731794093855,0.8212133333333057,0.435,1,0.0,2.0,2.0,3.0,3.0,2.2
TS_1_embed_P30N_C2N_trial_38,100.0,0.125668901589611,0.4687099999999951,0.0875,1,0.0,11.0,11.0,16.0,16.0,3.6666666666666665
TS_1_embed_P30N_C2N_trial_39,100.0,-0.3290207778932168,0.7035066666666578,0.315,1,0.0,5.0,5.0,1.0,1.0,6.4
TS_1_embed_P30N_C2N_trial_40,100.0,-0.6154547642985085,0.7387433333333233,0.245,1,0.0,19.0,19.0,2.0,2.0,8.666666666666666
TS_1_embed_P30N_C2N_trial_41,100.0,0.1760669681680698,0.4242366666666599,0.1825,1,0.0,13.0,13.0,4.0,4.0,7.233333333333333
TS_1_embed_P30N_C2N_trial_42,100.0,-0.882834889997714,0.8340199999999888,0.1525,1,0.0,11.0,11.0,10.0,10.0,7.666666666666667
TS_1_embed_P30N_C2N_trial_43,100.0,-0.7103034954194046,0.8561933333333226,0.3924999999999999,1,0.0,4.0,4.0,5.0,5.0,4.466666666666667
TS_1_embed_P30N_C2N_trial_44,100.0,-0.8720921333671615,0.8687333333333123,0.1675,1,0.0,13.0,13.0,9.0,9.0,9.866666666666667
TS_1_embed_P30N_C2N_trial_45,100.0,-0.9384618110420548,0.948126666666653,0.125,1,0.0,11.0,11.0,14.0,14.0,4.6
TS_1_embed_P30N_C2N_trial_46,100.0,-0.666821044534466,0.8104533333333165,0.2,1,0.0,9.0,9.0,13.0,13.0,3.333333333333333
TS_1_embed_P30N_C2N_trial_47,100.0,-0.9734518192419864,0.9627333333333272,0.125,1,0.0,13.0,13.0,17.0,17.0,2.033333333333333
TS_1_embed_P30N_C2N_trial_48,100.0,-0.9334132330494228,0.969993333333314,0.3399999999999999,1,0.0,2.0,2.0,3.0,3.0,9.3
TS_1_embed_P30N_C2N_trial_49,100.0,-0.2928179742970866,0.6478399999999835,0.1225,1,0.0,12.0,12.0,13.0,13.0,3.533333333333333
TS_1_embed_P30N_C2N_trial_50,100.0,-0.8506864933508257,0.914323333333321,0.1699999999999999,1,0.0,19.0,19.0,6.0,6.0,6.166666666666667
TS_1_embed_P30N_C2N_trial_51,100.0,-0.9223775407959346,0.9674799999999746,0.255,1,0.0,2.0,2.0,13.0,13.0,6.266666666666667
TS_1_embed_P30N_C2N_trial_52,100.0,-0.8558229858810655,0.927309999999974,0.245,1,0.0,13.0,13.0,4.0,4.0,2.933333333333333
TS_1_embed_P30N_C2N_trial_53,100.0,-0.9432137945973168,0.9716566666666512,0.6425000000000001,1,0.0,1.0,1.0,10.0,10.0,2.2666666666666666
TS_1_embed_P30N_C2N_trial_54,100.0,0.1053113285633137,0.4815699999999951,0.09,1,0.0,15.0,15.0,18.0,18.0,6.833333333333333
TS_1_embed_P30N_C2N_trial_55,100.0,-0.7892364977279288,0.8779399999999831,0.2175,1,0.0,16.0,16.0,7.0,7.0,8.233333333333333
TS_1_embed_P30N_C2N_trial_56,100.0,0.2790497866609072,0.3687299999999954,0.1325,1,0.0,14.0,14.0,4.0,4.0,3.033333333333333
TS_1_embed_P30N_C2N_trial_57,100.0,-0.2668164636000051,0.634003333333321,0.2225,1,0.0,5.0,5.0,3.0,3.0,2.466666666666667
TS_1_embed_P30N_C2N_trial_58,100.0,-0.7233160434654566,0.782983333333322,0.285,1,0.0,12.0,12.0,3.0,3.0,5.933333333333334
TS_1_embed_P30N_C2N_trial_59,100.0,-0.0294457170211374,0.5605266666666598,0.09,1,0.0,6.0,6.0,11.0,11.0,8.366666666666667
TS_1_embed_P30N_C2N_trial_60,100.0,-0.0282899593935321,0.5419599999999933,0.175,1,0.0,16.0,16.0,7.0,7.0,9.8
TS_1_embed_P30N_C2N_trial_61,100.0,0.2619060442902021,0.3774733333333203,0.1425,1,0.0,13.0,13.0,14.0,14.0,2.8
TS_1_embed_P30N_C2N_trial_62,100.0,-0.7066367933427786,0.7904333333333218,0.17,1,0.0,11.0,11.0,7.0,7.0,9.3
TS_1_embed_P30N_C2N_trial_63,100.0,-0.9396779523915746,0.9646999999999898,0.1575,1,0.0,6.0,6.0,13.0,13.0,3.2
TS_1_embed_P30N_C2N_trial_64,100.0,-0.8165878785605435,0.8969066666666545,0.21,1,0.0,6.0,6.0,9.0,9.0,7.066666666666666
TS_1_embed_P30N_C2N_trial_65,100.0,0.3296244310351759,0.3854933333333203,0.1175,1,0.0,20.0,20.0,14.0,14.0,3.8
TS_1_embed_P30N_C2N_trial_66,100.0,-0.8501853887858563,0.9233599999999949,0.21,1,0.0,2.0,2.0,8.0,8.0,6.433333333333334
TS_1_embed_P30N_C2N_trial_67,100.0,0.263201070104523,0.3849499999999937,0.1025,1,0.0,15.0,15.0,14.0,14.0,9.0
TS_1_embed_P30N_C2N_trial_68,100.0,0.4069105961771399,0.3663099999999925,0.115,1,0.0,19.0,19.0,18.0,18.0,9.8
TS_1_embed_P30N_C2N_trial_69,100.0,0.4873462067587159,0.3075099999999928,0.1025,1,0.0,18.0,18.0,17.0,17.0,5.6
TS_1_embed_P30N_C2N_trial_70,100.0,-0.9201315746676072,0.9028233333333237,0.1175,1,0.0,16.0,16.0,18.0,18.0,5.166666666666667
TS_1_embed_P30N_C2N_trial_71,100.0,-0.0642671285592715,0.6006466666666584,0.1375,1,0.0,12.0,12.0,5.0,5.0,8.833333333333334
