index,Type,Core_Density,Peripheral_Nodes,BiC A,BiC B,CC AB,F1 (Average),F1 (Strict),Team Strength,Team Size,Percentage_Impurity
0Indegree80% Density_0 Nodes_0 Edges_22,Lowered Density,80% Density,0 Nodes,0.4257250592938464,0.4960264387747713,0.6671238651414201,0.0004953607559967,0.0,0.0272,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_23,Lowered Density,80% Density,0 Nodes,0.4428468683307791,0.3750297573697955,0.63131711453287,0.0006831727484746,0.0,0.0277,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_24,Lowered Density,80% Density,0 Nodes,0.5625481353321361,0.5710792083256169,0.8382598906644636,0.0,0.0,0.0253,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_25,Lowered Density,80% Density,0 Nodes,0.5149377206889413,0.4236238210596902,0.6998918849394986,0.0004474072748422,0.0,0.024,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_26,Lowered Density,80% Density,0 Nodes,0.609246859053675,0.586106441096508,0.6544003934139004,0.0036659992668001,0.0,0.0260999999999999,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_27,Lowered Density,80% Density,0 Nodes,0.3783071424838417,0.3806823977218065,0.4592079223798335,0.0019520889473572,0.0,0.0245,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_28,Lowered Density,80% Density,0 Nodes,0.512025597376838,0.4976086941490731,0.8255777845798732,0.0002222927913623,0.0,0.0260999999999999,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_29,Lowered Density,80% Density,0 Nodes,0.4074346537474855,0.3713614665139844,0.6166514127796328,0.0006595738579335,0.0,0.0238,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_30,Lowered Density,80% Density,0 Nodes,0.4045542644384292,0.388488219722224,0.5655368813282912,0.0010467063639746,0.0,0.025,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_31,Lowered Density,80% Density,0 Nodes,0.3896690763044251,0.3784853738486867,0.7595749202037331,0.0,0.0,0.0222,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_32,Lowered Density,80% Density,0 Nodes,0.4022248513416094,0.3999005104056018,0.6623429105058545,0.0001946174377224,0.0,0.0235,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_33,Lowered Density,80% Density,0 Nodes,0.3435018924431876,0.3663328748268528,0.4310437362424856,0.002646961508768,0.0,0.0274,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_34,Lowered Density,80% Density,0 Nodes,0.405711136839549,0.3835663252103261,0.6935008110520462,2.1667533368001388e-05,0.0,0.0238,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_35,Lowered Density,80% Density,0 Nodes,0.4387454613531532,0.4690447676540871,0.7381440993679551,0.0008428860418071,0.0,0.0268,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_36,Lowered Density,80% Density,0 Nodes,0.5251545899551376,0.3630432108176102,0.7132337787294359,0.0001066135967873,0.0,0.0224,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_37,Lowered Density,80% Density,0 Nodes,0.3672499724356465,0.384787905888778,0.6241468862255364,0.0007092355770296,0.0,0.0238999999999999,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_38,Lowered Density,80% Density,0 Nodes,0.5010866644447403,0.4277618424445636,0.7850705566442255,7.370101953077018e-05,0.0,0.0265,5,80% Impurity
0Indegree80% Density_0 Nodes_0 Edges_39,Lowered Density,80% Density,0 Nodes,0.459639075982001,0.3954443397694925,0.7098156568693578,0.0001542337154902,0.0,0.0255,5,80% Impurity
